ranking,title,poster_url
51,The_Treasure_of_the_Sierra_Madre_(film),https://upload.wikimedia.org/wikipedia/commons/1/1d/The_Treasure_of_the_Sierra_Madre_%281947_poster%29.jpg
52,Up_(2009_film),https://upload.wikimedia.org/wikipedia/en/0/05/Up_%282009_film%29.jpg
53,12_Angry_Men_(1957_film),https://upload.wikimedia.org/wikipedia/commons/b/b5/12_Angry_Men_%281957_film_poster%29.jpg
54,The_400_Blows,https://upload.wikimedia.org/wikipedia/en/f/f9/Quatre_coups2.jpg
55,Logan_(film),https://upload.wikimedia.org/wikipedia/en/3/37/Logan_2017_poster.jpg
56,All_Quiet_on_the_Western_Front_(1930_film),https://upload.wikimedia.org/wikipedia/commons/6/6c/All_Quiet_on_the_Western_Front_%281930_film%29_poster.jpg
57,Army_of_Shadows,https://upload.wikimedia.org/wikipedia/en/0/08/ARMY_OF_SHADOWS_1SH.jpg
58,Arrival_(film),https://upload.wikimedia.org/wikipedia/en/d/df/Arrival%2C_Movie_Poster.jpg
59,Baby_Driver,https://upload.wikimedia.org/wikipedia/en/8/8e/Baby_Driver_poster.jpg
60,A_Streetcar_Named_Desire_(1951_film),https://upload.wikimedia.org/wikipedia/commons/f/fe/A_Streetcar_Named_Desire_%281951%29.jpg
61,The_Night_of_the_Hunter_(film),https://upload.wikimedia.org/wikipedia/commons/a/a5/The_Night_of_the_Hunter_%281955_poster%29.jpg
62,Star_Wars:_The_Force_Awakens,https://upload.wikimedia.org/wikipedia/commons/8/85/Vintage_Potemkin.jpg
63,Manchester_by_the_Sea_(film),https://upload.wikimedia.org/wikipedia/en/d/de/Manchester_by_the_Sea.jpg
64,Dr._Strangelove,https://upload.wikimedia.org/wikipedia/en/e/e6/Dr._Strangelove_poster.jpg
65,Frankenstein_(1931_film),https://upload.wikimedia.org/wikipedia/commons/9/92/Frankenstein_poster_1931.jpg
66,Vertigo_(film),https://upload.wikimedia.org/wikipedia/commons/7/75/Vertigomovie_restoration.jpg
67,The_Dark_Knight_(film),https://upload.wikimedia.org/wikipedia/en/1/1c/The_Dark_Knight_%282008_film%29.jpg
68,Touch_of_Evil,https://upload.wikimedia.org/wikipedia/commons/0/09/Touch_of_Evil_%281958_poster%29.jpg
69,The_Babadook,https://upload.wikimedia.org/wikipedia/en/d/d7/The-Babadook-Poster.jpg
70,The_Conformist_(film),https://upload.wikimedia.org/wikipedia/en/7/78/The_Conformist_poster.jpg
71,Rebecca_(1940_film),https://upload.wikimedia.org/wikipedia/commons/a/ad/Rebecca_%281939_poster%29.jpeg
72,Rosemary%27s_Baby_(film),https://upload.wikimedia.org/wikipedia/commons/8/85/Vintage_Potemkin.jpg
73,Finding_Nemo,https://upload.wikimedia.org/wikipedia/en/2/29/Finding_Nemo.jpg
74,Brooklyn_(film),https://upload.wikimedia.org/wikipedia/en/5/5b/Brooklyn_FilmPoster.jpg
75,The_Wrestler_(2008_film),https://upload.wikimedia.org/wikipedia/en/3/3e/The_Wrestler_poster.jpg
76,The_39_Steps_(1935_film),https://upload.wikimedia.org/wikipedia/en/f/ff/The_39_Steps_%28quad_poster%29.jpg
77,L.A._Confidential_(film),https://upload.wikimedia.org/wikipedia/en/d/d8/La_confidential.jpg
78,Gone_with_the_Wind_(film),https://upload.wikimedia.org/wikipedia/commons/2/27/Poster_-_Gone_With_the_Wind_01.jpg
79,"The_Good,_the_Bad_and_the_Ugly",https://upload.wikimedia.org/wikipedia/en/4/45/Good_the_bad_and_the_ugly_poster.jpg
80,Skyfall,https://upload.wikimedia.org/wikipedia/en/a/a7/Skyfall_poster.jpg
81,"Rome,_Open_City",https://upload.wikimedia.org/wikipedia/en/1/19/Open_City_DVD.jpg
82,Tokyo_Story,https://upload.wikimedia.org/wikipedia/commons/1/1b/Tokyo-story-20201121.jpg
83,Hell_or_High_Water_(film),https://upload.wikimedia.org/wikipedia/en/8/8f/Hell_or_High_Water_film_poster.png
84,Pinocchio_(1940_film),https://upload.wikimedia.org/wikipedia/en/b/ba/Pinocchio-1940-poster.jpg
85,The_Jungle_Book_(2016_film),https://upload.wikimedia.org/wikipedia/en/a/a4/The_Jungle_Book_%282016%29.jpg
86,La_La_Land_(film),https://upload.wikimedia.org/wikipedia/en/a/ab/La_La_Land_%28film%29.png
87,Star_Trek_(film),https://upload.wikimedia.org/wikipedia/en/2/29/Startrekposter.jpg
88,High_Noon,https://upload.wikimedia.org/wikipedia/commons/8/81/High_Noon_%281952_poster%29.jpg
89,Apocalypse_Now,https://upload.wikimedia.org/wikipedia/en/c/c2/Apocalypse_Now_poster.jpg
90,On_the_Waterfront,https://upload.wikimedia.org/wikipedia/commons/e/ee/On_the_Waterfront_%281954_poster%29.jpg
91,The_Wages_of_Fear,https://upload.wikimedia.org/wikipedia/en/f/f4/SalairedelapeurR350.jpg
92,The_Last_Picture_Show,https://upload.wikimedia.org/wikipedia/en/8/8f/The_Last_Picture_Show_%28movie_poster%29.jpg
93,Harry_Potter_and_the_Deathly_Hallows_–_Part_2,https://upload.wikimedia.org/wikipedia/en/d/df/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2.jpg
94,The_Grapes_of_Wrath_(film),https://upload.wikimedia.org/wikipedia/commons/c/c1/The_Grapes_of_Wrath_%281940_poster%29.jpg
95,Roman_Holiday,https://upload.wikimedia.org/wikipedia/commons/d/d0/Roman_Holiday_%281953_poster%29.jpg
96,Man_on_Wire,https://upload.wikimedia.org/wikipedia/en/5/54/Man_on_wire_ver2.jpg
97,Jaws_(film),https://upload.wikimedia.org/wikipedia/en/e/eb/JAWS_Movie_poster.jpg
98,Toy_Story,https://upload.wikimedia.org/wikipedia/en/1/13/Toy_Story.jpg
99,The_Godfather_Part_II,https://upload.wikimedia.org/wikipedia/en/0/03/Godfather_part_ii.jpg
100,Battleship_Potemkin,https://upload.wikimedia.org/wikipedia/commons/8/85/Vintage_Potemkin.jpg
